lat,lon,cloud_amount
-80.5,3.0508475,18.8
-80.5,9.152542,15.3
-80.5,15.254237,14.9
-80.5,21.35593,10.9
-80.5,27.457626,7.7
-80.5,33.559322,5.5
-80.5,39.66102,4.6000000000000005
-80.5,45.76271,2.9000000000000004
-80.5,51.86441,1.1
-80.5,57.966103,0.9
-80.5,64.067795,1.5
-80.5,70.169495,1.4000000000000001
-80.5,76.27118,1.4000000000000001
-80.5,82.37288,1.2000000000000002
-80.5,88.47458,1.2000000000000002
-80.5,94.57626,2.0
-80.5,100.67796,2.8000000000000003
-80.5,106.77966,3.5
-80.5,112.88135,4.2
-80.5,118.98305,5.300000000000001
-80.5,125.08475,6.4
-80.5,131.18643,9.200000000000001
-80.5,137.28815,11.4
-80.5,143.38983,12.0
-80.5,149.49152,17.5
-80.5,155.59323,62.0
-80.5,161.69492,79.10000000000001
-80.5,167.7966,77.80000000000001
-80.5,173.89832,73.3
-80.5,180.0,71.2
-80.5,186.10168,67.5
-80.5,192.2034,70.9
-80.5,198.30508,77.10000000000001
-80.5,204.40677,81.5
-80.5,210.50848,67.3
-80.5,216.61017,58.900000000000006
-80.5,222.71185,54.300000000000004
-80.5,228.81357,46.1
-80.5,234.91525,42.800000000000004
-80.5,241.01694,43.300000000000004
-80.5,247.11865,43.2
-80.5,253.22034,31.400000000000002
-80.5,259.32202,29.900000000000002
-80.5,265.42374,30.0
-80.5,271.52542,38.400000000000006
-80.5,277.6271,55.5
-80.5,283.72882,48.7
-80.5,289.8305,57.2
-80.5,295.9322,57.5
-80.5,302.0339,62.800000000000004
-80.5,308.1356,54.7
-80.5,314.23727,63.300000000000004
-80.5,320.339,74.3
-80.5,326.44067,74.7
-80.5,332.54236,68.60000000000001
-80.5,338.64407,49.400000000000006
-80.5,344.74576,40.300000000000004
-80.5,350.84744,26.8
-80.5,356.94916,22.5
-79.5,2.7272727,15.8
-79.5,8.181818,12.3
-79.5,13.636364,11.3
-79.5,19.090908,10.3
-79.5,24.545456,6.4
-79.5,30.0,5.0
-79.5,35.454544,3.6
-79.5,40.909092,3.0
-79.5,46.363636,3.3000000000000003
-79.5,51.81818,1.3
-79.5,57.272728,1.2000000000000002
-79.5,62.727272,2.9000000000000004
-79.5,68.181816,2.4000000000000004
-79.5,73.63636,3.1
-79.5,79.09091,3.2
-79.5,84.545456,1.8
-79.5,90.0,1.4000000000000001
-79.5,95.454544,1.6
-79.5,100.90909,2.3000000000000003
-79.5,106.36363,2.2
-79.5,111.818184,3.0
-79.5,117.27273,4.6000000000000005
-79.5,122.72727,5.800000000000001
-79.5,128.18182,8.1
-79.5,133.63635,8.6
-79.5,139.09091,10.3
-79.5,144.54544,11.700000000000001
-79.5,150.0,14.600000000000001
-79.5,155.45456,61.0
-79.5,160.90909,85.5
-79.5,166.36365,75.2
-79.5,171.81818,71.5
-79.5,177.27274,70.4
-79.5,182.72726,70.60000000000001
-79.5,188.18182,68.4
-79.5,193.63635,73.7
-79.5,199.09091,73.5
-79.5,204.54544,82.7
-79.5,210.0,70.3
-79.5,215.45456,61.800000000000004
-79.5,220.90909,57.0
-79.5,226.36365,50.7
-79.5,231.81818,44.900000000000006
-79.5,237.27274,44.1
-79.5,242.72726,47.1
-79.5,248.18182,39.5
-79.5,253.63637,35.6
-79.5,259.09094,31.900000000000002
-79.5,264.54547,30.0
-79.5,270.0,33.7
-79.5,275.45453,63.800000000000004
-79.5,280.90912,60.0
-79.5,286.36365,56.300000000000004
-79.5,291.81818,58.6
-79.5,297.2727,64.4
-79.5,302.7273,70.60000000000001
-79.5,308.18182,69.7
-79.5,313.63635,52.800000000000004
-79.5,319.09094,73.60000000000001
